market,avg_trip_length,share_of_visitor_days,visitor_days,share_of_trips,trips,est_impact,est_impact_[Destination],visitor_days_[Destination],total_trips_[Destination]
Phoenix -Prescott,1,0.09820840149790339,37.641330252664325,0.28341538973541464,37.641330252664325,8389.26,8389.26,37.641330252664325,37.641330252664325
New York,3.473393097184223,0.2624409205967472,100.58839379649521,0.21804814812566403,28.959691858096697,7215.200000000001,7215.200000000001,100.58839379649521,28.959691858096697
Philadelphia,4.940587502257854,0.24452493557578078,93.72155248057805,0.14282996988756191,18.96971816362876,6035.16,6035.16,93.72155248057805,18.96971816362876
Madison,4,0.12846411720678938,49.237745321625766,0.09268226366039437,12.309436330406442,2863.68,2863.68,49.237745321625766,12.309436330406442
Indianapolis,1,0.02133185049603564,8.176074726548531,0.06156066721278024,8.176074726548531,1909.12,1909.12,8.176074726548531,8.176074726548531
Las Vegas,2.5055435208335943,0.05344787979773299,20.485511056954973,0.06156066721278024,8.176074726548531,1467.68,1467.68,20.485511056954973,8.176074726548531
Rochester- NY,4,0.06423205860339469,24.618872660812883,0.04634113183019718,6.154718165203221,1431.84,1431.84,24.618872660812883,6.154718165203221
San Francisco-Oak-San Jose,1,0.006051611786315929,2.319462635938503,0.01746408542229224,2.319462635938503,628.62,628.62,2.319462635938503,2.319462635938503
Charlotte,3,0.04746452260668266,18.192209052107785,0.045658606147749144,6.064069684035928,596.34,596.34,18.192209052107785,6.064069684035928
