DMA,trips,visitor_days,avg_spend_per_visitor,avg_spend_per_day,est_impact,avg_length_of_stay,key,total_trips_[Destination],visitor_days_[Destination],avg_length_of_stay_[Destination],compare_to_overall_[Destination],est_impact_[Destination],correlation_group_[Destination],total_trips_[Resorts],visitor_days_[Resorts],avg_length_of_stay_[Resorts],compare_to_overall_[Resorts],est_impact_[Resorts],correlation_group_[Resorts]
Phoenix -Prescott,113,303,$298.36,$135.00,"$33,714.68",2.7 Days,64,113,303,2.7 Days,0.2638727572457351,"$33,714.68",100%,9,12,1.4 Days,1.5458899982755463,"$4,956.00",8%
Sioux Falls-Mitchell,1,2,$217.25,$148.87,$217.25,1.2 Days,65,1,2,1.2 Days,0.6567058337202791,$217.25,100%,,,,,,
Tucson -Sierra Vista,17,24,$272.04,$137.00,"$4,624.68",1.4 Days,66,17,24,1.4 Days,1.5570086745437408,"$4,624.68",100%,8,10,1.1 Days,1.817476648274082,"$4,130.00",49%
Tampa-St. Pete -Sarasota,11,16,$273.52,$95.85,"$3,008.72",1.4 Days,67,11,16,1.4 Days,2.827811971088499,"$3,008.72",100%,,,,,,
Tri-Cities- TN-VA,4,5,$140.36,$65.93,$561.44,1.2 Days,68,4,5,1.2 Days,2.771453926276035,$561.44,100%,,,,,,
Cleveland-Akron -Canton,4,5,$250.88,$133.48,"$1,003.52",1.1 Days,69,4,5,1.1 Days,2.932747048196054,"$1,003.52",100%,,,,,,
Mobile-Pensacola -Ft Walt,11,24,$116.91,$51.92,"$1,286.01",2.2 Days,70,11,24,2.2 Days,1.2519783056612583,"$1,286.01",100%,,,,,,
Norfolk-Portsmth-Newpt Nws,1,3,$551.80,$209.71,$551.80,2.1 Days,71,1,3,2.1 Days,1.6608706651732055,$551.80,100%,,,,,,
West Palm Beach-Ft. Pierce,3,14,$442.69,$271.86,"$1,328.07",4.5 Days,72,3,14,4.5 Days,-1.0014273668661438,"$1,328.07",100%,,,,,,
Cedar Rapids-Wtrlo-Iwc&Dub,5,6,$145.80,$126.60,$729.00,1.2 Days,73,5,6,1.2 Days,1.383731473224503,$729.00,100%,,,,,,
Orlando-Daytona Bch-Melbrn,6,6,$278.20,$92.82,"$1,669.20",1 Days,74,6,6,1 Days,1.132053609033551,"$1,669.20",100%,,,,,,
Greenville-N.Bern-Washngtn,3,3,$126.22,$56.57,$378.66,1.2 Days,75,3,3,1.2 Days,0.6687710216983502,$378.66,100%,,,,,,
Wilkes Barre-Scranton-Hztn,4,4,$126.22,$56.57,$504.88,1 Days,76,4,4,1 Days,1.9181447000201162,$504.88,100%,4,4,1 Days,1.9181447000201162,"$1,652.00",100%
San Francisco-Oak-San Jose,61,160,$467.80,$223.65,"$28,535.80",2.6 Days,77,61,160,2.6 Days,-0.6229292539634832,"$28,535.80",100%,,,,,,
Greenvll-Spart-Ashevll-And,10,11,$126.22,$56.57,"$1,262.20",1.1 Days,78,10,11,1.1 Days,1.2632341092444888,"$1,262.20",100%,,,,,,
Raleigh-Durham -Fayetvlle,4,5,$432.20,$205.31,"$1,728.80",1.1 Days,79,4,5,1.1 Days,0.9445508750579867,"$1,728.80",100%,,,,,,
SantaBarbra-SanMar-SanLuob,83,151,$309.25,$189.70,"$25,667.75",1.8 Days,80,83,151,1.8 Days,0.514604282601467,"$25,667.75",100%,,,,,,
Grand Rapids-Kalmzoo-B.Crk,3,8,$178.49,$110.29,$535.47,2.3 Days,81,3,8,2.3 Days,-0.1338535464449513,$535.47,100%,,,,,,
Greensboro-H.Point-W.Salem,7,75,$131.34,$74.22,$919.38,10.1 Days,82,7,75,10.1 Days,-7.8326166459256505,$919.38,100%,,,,,,
