market,shareOfImpact,shareOfSpendPerVisitor,shareOfSpendPerDay,avg_spend_per_visitor,shareOfVisitorDays,estImpact,avg_spend_per_day,shareOfTrips,visitorDays,trips,originalRank
Philadelphia,0.3900709219858156,0.047850490299337085,0.007101765536576813,3717,0.39338428817685156,22715,413,0.29450628185921046,55.39246348682899,6.154718165203221,0
Rochester- NY,0.1773049645390071,0.047850490299337085,0.007101765536576813,1652,0.17483746141193404,10325,413,0.29450628185921046,24.618872660812883,6.154718165203221,1
New York,0.1347517730496454,0.04785049029933709,0.007101765536576813,3304,0.13177823849028536,7847,413,0.11098742436065016,18.555701087508023,2.319462635938503,2
