DMA,Share of Spend %
Los Angeles,0.10297660505709234
San Diego,0.06530030094083622
New York,0.05465480155135537
Dallas-Ft. Worth,0.045125599219033447
San Francisco-Oak-San Jose,0.04095230135285325
Philadelphia,0.034753964267892616
Phoenix -Prescott,0.03322440762126546
Salt Lake City,0.02883704865078971
Nashville,0.027585751076319536
Las Vegas,0.024907110989924736
Seattle-Tacoma,0.019687597767154185
Denver,0.013587581360486939
All Others,0.5084069301449962
