DMA,Trips
Los Angeles,22.15%
San Diego,8.64%
Phoenix -Prescott,6.96%
San Francisco-Oak-San Jose,4.28%
Las Vegas,3.63%
New York,2.90%
Dallas-Ft. Worth,2.89%
Sacramnto-Stkton-Modesto,2.54%
Denver,2.41%
Salt Lake City,2.36%
Palm Springs,1.94%
Chicago,1.81%
Seattle-Tacoma,1.80%
SantaBarbra-SanMar-SanLuob,1.50%
Houston,1.47%
Atlanta,1.22%
Washington-DC -Hagrstwn,1.09%
Fresno-Visalia,1.01%
Philadelphia,0.94%
Portland- OR,0.89%
