Cluster,Share of Visitor Days
City Council Districts,0.74
City,0.59
External Locations,0.56
Resorts,0.2
Harbor,0.17
Beaches,0.11
Trails & Parks,0.09
Hotels,0.09
Lantern District,0.05
Monarch Beach Golf Links,0.04
