Cluster,Share of Visitor Days
City Council Districts,71.54%
City,58.16%
External Locations,56.81%
Dining,24.44%
Resorts,20.29%
Harbor,17.38%
Beaches,11.46%
Trails & Parks,10.26%
Hotels,8.90%
Lantern District,5.28%
