Attribution Group,Est. Trips,Est. Visitor Days,Avg. Length of Stay,Est. Campaign Impact
Destination,81,197,2.4 Days,"$21,801.15"
Hotels,6,16,2.8 Days,"$1,600.00"
Resorts,4,12,2.9 Days,"$1,200.00"
