Gender,"Total","13-17","18-24","25-34","35-44","45-54","55-64","65+"
Female,54.7,0.0573,0.650,7.08,15.9,14.3,11.1,5.54
Male,26.1,0.0630,0.592,4.02,7.61,6.88,4.53,2.39
Prefer Not To Say,19.3,0.0539,0.723,3.98,5.43,4.20,2.97,1.90
