"Top Country",Followers
"United States",20088.00
"United Kingdom",230.00
"Canada",210.00
"Brazil",192.00
"Mexico",165.00

"Top City",Followers
"Dana Point",1545.00
"Laguna Niguel",1208.00
"San Clemente",1102.00
"San Juan Capistrano",637.00
"Los Angeles",632.00

