market,avg_trip_length,share_of_visitor_days,share_of_trips,visitor_days,est_impact,trips,visitor_days_[Destination],est_impact_[Destination],total_trips_[Destination],visitor_days_[Hotels],est_impact_[Hotels],total_trips_[Hotels],visitor_days_[Resorts],est_impact_[Resorts],total_trips_[Resorts]
Los Angeles,1.660869509935209,0.2115979595180272,0.2842555672920887,1166.9447448075173,227125.24,702.6107336108784,1166.944744807517,227125.24,702.6107336108785,59.27085042444212,24367,35.66137328406774,65.58347413773181,27258,39.394193092461904
San Diego,1.6524137887454144,0.11193376191733045,0.15113856901674314,617.3051740833838,177511.62,373.5778400590987,617.3051740833838,177511.62,373.5778400590989,101.17109827411774,41713,47.649681596281276,92.77354411129038,38409,32.108487397698994
Portland- OR,3.3488474877861445,0.07069458080818547,0.047100310539966016,389.8745987361662,62217.76,116.42052979662697,389.8745987361662,62217.76,116.42052979662698,45.17578099090537,18585,7.214303207683856,,,
Phoenix -Prescott,2.6727994864095193,0.05488536852930826,0.04581663843211627,302.6881380046746,33714.68,113.24760407346828,302.6881380046746,33714.68,113.24760407346828,40.683072584662426,16933,4.872633321575309,11.94646314474412,4956,8.589743782271627
San Francisco-Oak-San Jose,2.6337928460348587,0.029094194967893155,0.02464664146868616,160.4520100265699,28535.8,60.920512510362514,160.45201002656992,28535.8,60.92051251036253,15.704852903466069,6608,5.501938416496543,,,
Austin,2.489010492121573,0.026612876571354162,0.023856026513609404,146.7677501706108,27253.87,58.96630433466332,146.76775017061084,27253.87,58.96630433466332,,,,146.76775017061084,60711,58.96630433466332
Las Vegas,2.3681562774560767,0.0304766974987303,0.028713792799979876,168.07639386617896,26947.34,70.97352293267156,168.07639386617893,26947.34,70.97352293267154,,,,,,
SantaBarbra-SanMar-SanLuob,1.8076658384510276,0.02732287456193463,0.033724168762730995,150.68332868478447,25667.75,83.35795559089817,150.68332868478444,25667.75,83.35795559089817,,,,,,
Palm Springs,1.6727068714558901,0.017899362392969773,0.023875404396267345,98.71346078884025,16381.349999999999,59.014201754861006,98.71346078884025,16381.349999999999,59.014201754861,,,,2.4754118946273236,826,1.9381263445688404
