Zip Code,Spend Share
75229,0.0009916716381952063
89074,0.001208812411109959
83646,0.002488093675206795
13045,0.000004126339048825704
84102,0.0008888114458146443
78578,0.000011769815607508374
59047,0.00012795729955666625
24501,0.000020887251101417062
30076,0.00012335823650481503
91340,0.00009289867212650708
86326,0.0004821205976997283
23462,0.000010144165459023003
34223,0.000049398997258530845
91104,0.0010698008904578783
85254,0.0024656746327830752
55901,0.00010620217426325237
37938,0.0000020620536619493986
79106,0.000030262964835302425
77346,0.0003179623479277172
95351,0.000016024658112530337
80113,0.0004905756702115205
83402,0.00002276836180076673
53216,0.000004144016851969547
90016,0.00024277144087517932
78633,0.00004372435591580965
94925,0.00015102349901694302
55305,0.00004671875462678689
96722,0.00020332055901155585
34105,0.0008146033337001021
18902,0.0000716726163393532
88240,0.00013378292426244302
64118,0.0000988129578538404
30350,0.00008191872386233049
95380,0.00010200615835785627
84403,0.001731172237159519
32174,0.00016334000281150672
78751,0.00006797965793795295
87112,0.00004865450363542881
93465,0.00011314709000208252
93924,0.00020637944287094009
94506,0.0013967277269185173
87571,0.00014134528814849874
50309,0.000026680444554306502
84060,0.0003384803140190305
93109,0.00019220969061363016
75244,0.001399799246307863
95650,0.0003536452337119571
30680,0.000021280089957560924
46814,0.00014210508121009942
91405,0.0005670313177131098
98101,0.0005251067811502035
92114,0.0003276945907894802
30114,0.00026918963953265104
18020,0.000008550962149618588
85755,0.00015209858599246216
98059,0.00026937105205155916
60051,0.00002428326720597508
34219,0.000023960152944881523
02740,0.000013378827432115712
55116,0.00004488358658227327
33913,0.00032681032018636643
91913,0.000893259415105897
08755,0.000026196607707599915
95020,0.00022552891265015634
94132,0.00008908178596803799
89141,0.0015427996509753013
28277,0.00005023648250538906
21773,0.00002773941139204157
17325,0.00001720842361707515
80904,0.00016556723591635642
87301,0.000030923317377212004
84037,0.0005551039660356948
55102,0.00031026817885482775
60045,0.0002213399770025194
06840,0.00007520904122811645
33446,0.0000839608646451324
85131,0.0001021707618826735
37187,0.000002905115079823458
85716,0.00005825008899011451
04102,0.000030354222811963098
84604,0.001333490236845123
76131,0.00008448741169553552
97210,0.0002640419908983911
17331,0.00001372577621532799
98607,0.0002703736267097783
91303,0.0002541240417984288
85053,0.0002454235167466123
98020,0.0003935518963652047
11222,0.0002829982608243986
70605,0.0001067818124047626
15650,0.000010893803588908278
55060,0.000008274684856165557
89138,0.002809021624939525
22314,0.0012833008671925934
76053,0.00004107989465461324
94044,0.0002150647008598036
03103,0.000018005867151886827
83605,0.00011917919564887975
90211,0.0009492100948441693
32211,0.000009170494806766998
40391,0.0000036560423544843397
94528,0.0000430974211132633
79762,0.000021153735520281022
98264,0.00008645474028848791
60805,0.000023451788813260922
60544,0.00001803765835787486
55403,0.0001751346418239822
98902,0.0001943386135163906
45750,0.0000027888271366911828
85041,0.0000849189653453351
98032,0.000053119968354246064
58104,0.000028355267819581523
60189,0.00002094757441813282
91311,0.0011947576594811286
91978,0.00011643936450257506
37763,0.000020586913421170775
15642,0.00004491404098311871
22209,0.0003359199538174702
80209,0.0009565405691414348
80521,0.00012683661256624048
17241,0.000009485716887381885
21030,0.00015840397202884852
35124,0.0002039543379914556
97124,0.0000699574884112417
97703,0.0008509411930597786
83274,0.000025270463983176018
03833,0.000041041560603986995
75080,0.00021318892797797062
67212,0.000028766767905254828
85205,0.0011167485590574035
33772,0.0009188691926245464
73142,0.000028278140588336118
15221,0.000017560655869961942
99206,0.0001525530111146344
78028,0.00011525552006822467
80020,0.00028781385721386157
83316,0.00001085712427486609
68022,0.000054429860017056786
85268,0.0003774311003655487
92301,0.0002208959673722984
27540,0.00022112008647529795
85367,0.00008195153002786478
12508,0.000015772644492244015
91915,0.0006584741365129145
08753,0.00007245645377671439
55110,0.00013950824837957764
37601,0.000038802824032264806
95129,0.0003200075924226578
37129,0.00035672728168212114
85704,0.0002693987358799408
94087,0.00016493490394118166
89048,0.0001428684922921872
89147,0.0007333831985317983
80443,0.0002813985257006797
94134,0.00008085113489305056
97202,0.0007836026297771771
37221,0.000570537103639795
60477,0.000053321395660196805
55317,0.00011483824639464382
85297,0.00033974784775104146
