DMA,Share of Spend %,Avg. Spend
Los Angeles,0.14973968531903648,210.64130219245538
San Diego,0.06747988770279645,165.17510406910034
Phoenix -Prescott,0.059588014650321514,326.6602333813929
San Francisco-Oak-San Jose,0.05677223343740403,335.4761747341453
Dallas-Ft. Worth,0.04144384666980253,402.48905800033043
Las Vegas,0.041063719919854386,385.2077485210439
Salt Lake City,0.038070830398084635,264.61701185995355
New York,0.036812404328107666,309.89317566797416
Sacramnto-Stkton-Modesto,0.026692187809838664,297.1675591045992
Portland- OR,0.02590417881394326,507.7519222739285
Denver,0.025169360855549123,288.4664534094727
Seattle-Tacoma,0.021662670745392177,316.7682080389166
Houston,0.02023698844491612,537.4619736546272
Palm Springs,0.019366130254312653,169.06079888976927
Washington-DC -Hagrstwn,0.01565723772811226,350.91910923753437
Philadelphia,0.015505005233385109,349.3354584416388
Nashville,0.014599028328281482,338.9689548392848
Minneapolis-St. Paul,0.014108782867129434,343.37754544171474
Atlanta,0.013249882575499227,451.1787107919899
Chicago,0.012709953652484897,409.0957979782281
Tampa-St. Pete -Sarasota,0.012320385393220699,337.1907840147535
Miami-Ft. Lauderdale,0.01101121598521101,392.90869580728753
Fresno-Visalia,0.010413175052667588,401.18610570422464
SantaBarbra-SanMar-SanLuob,0.010229176127237043,272.50883508827457
Boise,0.01022383961401816,296.3762593890095
Boston -Manchester,0.009604101911331616,335.5574122055248
West Palm Beach-Ft. Pierce,0.00955429411290547,423.1631920452872
Indianapolis,0.009503043283164094,799.1497086025869
Monterey-Salinas,0.00853313457652728,387.91554351708874
Tucson -Sierra Vista,0.008060038644351687,337.98153693088494
Reno,0.007874612483188513,348.2238698915294
Austin,0.007800506958736865,307.9011764685488
Raleigh-Durham -Fayetvlle,0.006281574175361954,361.4129764591539
Bakersfield,0.005929054397664589,207.38353816316572
Orlando-Daytona Bch-Melbrn,0.005652897642967836,229.0768615897545
Spokane,0.005212296904154151,375.59756990662055
Ft. Myers-Naples,0.005116745165448497,379.6497409572801
Detroit,0.0050853019606445695,419.5521864549006
Cincinnati,0.0050481464048441225,502.2322400784068
Charlotte,0.004966019870925537,341.74223435531474
Colorado Springs-Pueblo,0.004650043819949076,309.55043083778327
Cleveland-Akron -Canton,0.004358798021179317,264.946484723966
Medford-Klamath Falls,0.0040993767261080115,647.6441533419794
Baltimore,0.0038240416667746848,431.86563613888717
Honolulu,0.003790172402353208,213.51286698809798
Chico-Redding,0.003760362352390629,623.8837536261209
Albuquerque-Santa Fe,0.0037029289005985405,278.63252221052426
Des Moines-Ames,0.003552243566624288,490.3486734934978
Columbus- OH,0.003526849192349226,197.93783543682096
Hartford & New Haven,0.0034410099036337924,327.64358207728657
Norfolk-Portsmth-Newpt Nws,0.0033575508785583584,270.46015283831713
Kansas City,0.0033363454610530058,396.45478964582014
Grand Rapids-Kalmzoo-B.Crk,0.003268438907521541,658.2937973788735
San Antonio,0.0031749223525791986,233.2351480461785
Idaho Falls-Pocatllo-Jcksn,0.0030635510953542057,279.3140517748638
Providence-New Bedford,0.0029644375533572757,229.70790880475695
Missoula,0.0028192464709073375,312.41993253956787
Bend- OR,0.002772612583615894,273.24804260559506
Pittsburgh,0.0027390771743075917,317.7318621349222
Cedar Rapids-Wtrlo-Iwc&Dub,0.0026077459383175594,617.5547001086921
Omaha,0.0025547156267834666,297.5486371948001
Eugene,0.0025402474044720585,459.77709900185977
Chattanooga,0.0023628369408823114,237.94064550260896
Louisville,0.0023268967710532457,440.1129580450274
Birmingham -Ann and Tusc,0.002136913499093597,437.7592385550344
Richmond-Petersburg,0.0020702537941382766,207.79711453080915
Milwaukee,0.0019300063060691908,316.05659254383295
Memphis,0.0019254129072816472,343.0071297438177
Greenvll-Spart-Ashevll-And,0.0018497323726014547,220.03387723888943
Rochester- NY,0.0018339650924732217,683.0648992755517
Jacksonville,0.001716782666935467,373.694596500234
Sherman-Ada,0.0016164674164765786,207.37571917389923
Greenville-N.Bern-Washngtn,0.0015319629325530099,339.23735265531474
Oklahoma City,0.001513313904718713,316.8848598789356
Ft. Smith-Fay-Sprngdl-Rgrs,0.0014470176094644378,340.8589093523238
Dayton,0.0014213252235987356,221.3692508809388
Albany-Schenectady-Troy,0.0014105729106015546,483.7030022411475
Greensboro-H.Point-W.Salem,0.0013585580701177735,207.61892633912652
Savannah,0.0013115466970983298,302.4693621602304
