market,trips,visitor_days,avg_trip_length,share_of_trips,share_of_visitor_days,spend_per_visitor,est_impact
Los Angeles,1182.4866759315848,2134.5925676552747,1.80517261725051,0.2925660238639176,0.22420881810747686,335.870286672964,396998.34
San Diego,597.7077296107966,1062.7896763767703,1.7781093061466957,0.14788240531099037,0.11163105355464048,355.3698855441543,212511.26
Portland- OR,128.62149870049177,446.68144166201165,3.4728365489050534,0.031823005894400534,0.04691758025541724,532.1686920537593,68649.93
Phoenix -Prescott,174.4518363707128,469.09030824037654,2.6889387810372627,0.043162160861160655,0.049271315374144,381.8535880290996,66441.90000000001
San Francisco-Oak-San Jose,98.2862206928251,248.02088652812665,2.5234553203878782,0.0243175753046498,0.02605109315803651,443.28098056562527,43441.439999999995
New York,104.89145004043245,361.95590746852287,3.4507665527457188,0.025951814172852108,0.038018358842914636,360.48222464339545,37850.4
Sacramnto-Stkton-Modesto,87.47611027376809,255.87288992882205,2.92506021504653,0.021642981935264215,0.026875835279283375,409.3815114961173,35616.06
Palm Springs,115.39301724531379,217.46734549315275,1.884579766476158,0.028550069040334105,0.0228418749548763,284.49775749135995,32717.5
SantaBarbra-SanMar-SanLuob,90.7248775509246,185.62543520468267,2.0460257452592274,0.022446778666409692,0.019497331747783522,322.782629275697,29372.979999999996
