Year,Local Trips,Visitor Trips,Local Visitor Days,Visitor Visitor Days
2026,91.58%,8.42%,82.79%,17.21%
2025,91.44%,8.56%,83.70%,16.30%
2024,91.13%,8.87%,84.18%,15.82%
2023,91.09%,8.91%,84.51%,15.49%
