market,avg_trip_length,share_of_visitor_days,visitor_days,share_of_trips,trips,est_impact,est_impact_[Destination],visitor_days_[Destination],total_trips_[Destination],est_impact_[Resorts],visitor_days_[Resorts],total_trips_[Resorts]
New York,2.8024093047197627,0.1572316979223756,63.25104763288612,0.13362382396974054,22.5702389463095,8335.43,8335.43,63.25104763288612,22.5702389463095,11151,26.50814486215676,3.313518107769595
Los Angeles,1.1659541697908358,0.06914450716269932,27.8153996547152,0.14123800142297835,23.85634047666307,7337.280000000001,7337.280000000001,27.8153996547152,23.85634047666307,,,
Phoenix -Prescott,1,0.05277117602004134,21.228748478789065,0.12568172435283126,21.228748478789065,6647.76,6647.76,21.228748478789065,21.228748478789065,,,
Philadelphia,4.895290012317322,0.13097891480842963,52.69009804588992,0.06372330905104795,10.763427276691129,5384.5,5384.5,52.69009804588992,10.763427276691129,10738,26.377364014360495,2.9308182238178326
Chattanooga,3.815022963629534,0.09505453715295445,38.2384667762839,0.05934047972995326,10.023128862088058,3445.8999999999996,3445.8999999999996,38.2384667762839,10.023128862088058,,,
Houston,2.0069454145775074,0.030044584093440192,12.086312395752612,0.03565381394179097,6.022242711716684,3372.7799999999997,3372.7799999999997,12.086312395752612,6.022242711716684,7021,17.26616085940184,8.603204020392667
San Francisco-Oak-San Jose,3.3970904180893515,0.06973600584339933,28.05334729327734,0.04889059480649418,8.258051403016696,2636.96,2636.96,28.05334729327734,8.258051403016696,,,
Denver,2.2539410106407916,0.04459898876828702,17.941247218192316,0.04712570105722953,7.959945328423503,2124.64,2124.64,17.941247218192316,7.959945328423503,10738,25.630353605328487,11.37135066282938
Memphis,2.3333333333333335,0.03517331890912885,14.149495929417167,0.035901444460886014,6.064069684035928,912.9000000000001,912.9000000000001,14.149495929417167,6.064069684035928,8260,20.213565957688072,8.662956839009174
