Metric,Value
Total Impressions,"505,574"
Total Clicks,"1,354"
Total Spend,"$9,098.16"
Unique Reach,"68,650"
Avg Display CTR,0.4%
Avg Native CTR,0.25%
Avg VCR/ACR,90.83%
Total Video/Audio Completes,"126,955"
