Acquisition Channel,Share of Users
Organic Search,53.88%
Direct,33.76%
Display,8.69%
Referral,2.48%
Unassigned,0.93%
Organic Social,0.22%
Email,0.02%
Paid Other,0.02%
Paid Search,0%
