report_period_start,report_period_end,page_title,page_views,page_path
2025-01-01,2025-12-31,Dana Point Shakespeare Festival - Visit Dana Point,5014,/event/dana-point-shakespeare-festival/
2025-01-01,2025-12-31,Dana Point Harbor Holiday Lights - Visit Dana Point,4998,/event/dana-point-harbor-holiday-lights/
2025-01-01,2025-12-31,Ohana Festival 2024 - Visit Dana Point,4973,/event/ohana-festival-2024/
2025-01-01,2025-12-31,Dana Point Hiking | Hiking in Dana Point | Visit Dana Point,4920,/activities-and-things-to-do/hiking/
2025-01-01,2025-12-31,Concerts in the Park - Visit Dana Point,4878,/series/concerts-in-the-park-2/
2025-01-01,2025-12-31,Dana Point Surfing | Catch Your Wave,4834,/activities-and-things-to-do/dana-point-surfing/
2025-01-01,2025-12-31,Art & Museums in Orange County | Visit Dana Point,4708,/activities-and-things-to-do/arts-culture/
2025-01-01,2025-12-31,Día de los Muertos - Visit Dana Point,4613,/event/dia-de-los-muertos/
2025-01-01,2025-12-31,Summer Concerts in the Park - Visit Dana Point,4486,/event/summer-concerts-in-the-park/2023-07-16/
2025-01-01,2025-12-31,180blu - Visit Dana Point,4416,/restaurants-dining/180blu/
2025-01-01,2025-12-31,Contact Us - Visit Dana Point,4290,/contact-us/
2025-01-01,2025-12-31,Maritime Festival - Visit Dana Point,4285,/event/maritime-festival-3/2024-09-13/
2025-01-01,2025-12-31,Summer Concerts in the Park - Visit Dana Point,4146,/event/summer-concerts-in-the-park/2023-08-06/
2025-01-01,2025-12-31,Concerts in the Park - Visit Dana Point,3988,/event/concerts-in-the-park-2025/2025-07-20/
2025-01-01,2025-12-31,Fine Dining in Orange County | Visit Dana Point,3934,/dana-point-restaurants/fine-dining/
2025-01-01,2025-12-31,Directions to Dana Point | Visit Dana Point,3911,/dana-point-directions/
2025-01-01,2025-12-31,Dana Point Kayaking | Dana Point Paddle Boarding,3801,/activities-and-things-to-do/kayaking-paddleboarding/
2025-01-01,2025-12-31,Monarch Bay Beach Club - Visit Dana Point,3731,/restaurants-dining/monarch-bay-club/
2025-01-01,2025-12-31,Ocean Institute | Ocean Institute Dana Point,3717,/what-to-do/ocean-institute/
2025-01-01,2025-12-31,Shopping - Visit Dana Point,3706,/things-to-do/shopping/
2025-01-01,2025-12-31,Dana Point Harbor | Visit Dana Point,3706,/what-to-do/dana-point-harbor/
2025-01-01,2025-12-31,Dana Point Hotels | Best Hotels in Dana Point,3671,/lodging/dana-point-hotels/
2025-01-01,2025-12-31,Summer Concerts in the Park - Visit Dana Point,3591,/event/summer-concerts-in-the-park/2023-07-30/
2025-01-01,2025-12-31,Dana Point Film Festival - Visit Dana Point,3584,/event/dana-point-film-festival-2/
2025-01-01,2025-12-31,Dana Point News & Media | Visit Dana Point,3512,/news-media/
2025-01-01,2025-12-31,Mission San Juan Capistrano Facts | Mission Capistrano,3469,/activities-and-things-to-do/arts-culture/mission-san-juan-capistrano/
2025-01-01,2025-12-31,Dana Point Fishing | Dana Point Sportfishing,3445,/activities-and-things-to-do/fishing/
2025-01-01,2025-12-31,Local Attractions - Visit Dana Point,3371,/things-to-do/local-attractions/
2025-01-01,2025-12-31,Capistrano Beach - Visit Dana Point,3364,/what-to-do/capistrano-beach/
