Metric,Value
Total Users,"30,903"
New Users,"30,199"
Sessions,"35,845"
Screen Page Views,"57,612"
Sessions Per User,1.16
Screen Page Views Per Session,1.61
Average Session Duration,00:02:34
Engagement Rate,51.81%
